Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  802 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1598589,  1601705,  3116 
233 , 44586112,  44589613,  3501 , 2286195 
234 , 45711242,  45714754,  3512 , 2250271 
235 , 46842962,  46846486,  3524 , 2263452 
236 , 47956998,  47960534,  3536 , 2228084 
237 , 49078095,  49081644,  3549 , 2242207 
238 , 50181652,  50185213,  3561 , 2207126 
239 , 51292758,  51296331,  3573 , 2222224 
240 , 52386421,  52390006,  3585 , 2187338 
241 , 53488082,  53491678,  3596 , 2203333 
242 , 54572668,  54576277,  3609 , 2169185 
243 , 55665599,  55669219,  3620 , 2185873 
244 , 56741562,  56745195,  3633 , 2151939 
245 , 57826265,  57829907,  3642 , 2169415 
246 , 58894192,  58897847,  3655 , 2135867 
247 , 59971046,  59974713,  3667 , 2153720 
248 , 61031239,  61034920,  3681 , 2120400 
249 , 62100679,  62104369,  3690 , 2138889 
250 , 63153608,  63157312,  3704 , 2105872 
251 , 64215950,  64219665,  3715 , 2124695 
252 , 65261992,  65265720,  3728 , 2092097 
253 , 66317675,  66321417,  3742 , 2111380 
254 , 67356949,  67360704,  3755 , 2078561 
255 , 68405950,  68409713,  3763 , 2098010 
256 , 69438804,  69442582,  3778 , 2065723 
257 , 70481747,  70485537,  3790 , 2085898 
258 , 71508593,  71512392,  3799 , 2053701 
259 , 72545799,  72549612,  3813 , 2074426 
260 , 73566901,  73570726,  3825 , 2042216 
261 , 74598683,  74602520,  3837 , 2063576 
262 , 75614352,  75618200,  3848 , 2031349 
263 , 76640941,  76644801,  3860 , 2053190 
264 , 77651428,  77655301,  3873 , 2020987 
265 , 78673080,  78676964,  3884 , 2043315 
266 , 79678627,  79682523,  3896 , 2011106 
267 , 80695494,  80699401,  3907 , 2033745 
268 , 81696394,  81700314,  3920 , 2001813 
269 , 82708673,  82712604,  3931 , 2024569 
270 , 83705009,  83708952,  3943 , 1992684 
271 , 84712916,  84716869,  3953 , 2015824 
272 , 85704892,  85708860,  3968 , 1983967 
273 , 86708615,  86712593,  3978 , 2007456 
274 , 87696382,  87700374,  3992 , 1975548 
275 , 88696085,  88700087,  4002 , 1999416 
276 , 89679776,  89683790,  4014 , 1967394 
277 , 90675613,  90679638,  4025 , 1991685 
278 , 91655395,  91659431,  4036 , 1959575 
279 , 92647458,  92651507,  4049 , 1984139 
280 , 93623468,  93627529,  4061 , 1952032 
281 , 94611947,  94616019,  4072 , 1976969 
282 , 95584256,  95588341,  4085 , 1944631 
283 , 96569272,  96573367,  4095 , 1970042 
284 , 97538121,  97542230,  4109 , 1937712 
285 , 98519721,  98523841,  4120 , 1963211 
286 , 99485211,  99489342,  4131 , 1930991 
287 , 100463508,  100467652,  4144 , 1956607 
288 , 101425696,  101429851,  4155 , 1924387 
289 , 102400816,  102404983,  4167 , 1950252 
290 , 103359822,  103364001,  4179 , 1918024 
291 , 104331871,  104336062,  4191 , 1944110 
