Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  701 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1516370,  1519495,  3125 
455 , 409544724,  409555334,  10610 , 1599767 
456 , 410377036,  410387665,  10629 , 1664643 
457 , 411176708,  411187356,  10648 , 1599363 
458 , 412008929,  412019596,  10667 , 1664461 
459 , 412808391,  412819078,  10687 , 1598944 
460 , 413640557,  413651262,  10705 , 1664350 
461 , 414439821,  414450545,  10724 , 1598547 
462 , 415271918,  415282661,  10743 , 1664213 
463 , 416070982,  416081743,  10761 , 1598146 
464 , 416903008,  416913791,  10783 , 1664074 
465 , 417701873,  417712674,  10801 , 1597748 
466 , 418533828,  418544648,  10820 , 1663929 
467 , 419332509,  419343349,  10840 , 1597382 
468 , 420164410,  420175267,  10857 , 1663819 
469 , 420962930,  420973807,  10877 , 1597060 
470 , 421794747,  421805642,  10895 , 1663652 
471 , 422593092,  422604007,  10915 , 1596710 
472 , 423424850,  423435784,  10934 , 1663535 
473 , 424223002,  424233954,  10952 , 1596322 
474 , 425054680,  425065652,  10972 , 1663376 
475 , 425852642,  425863634,  10992 , 1595944 
476 , 426684269,  426695278,  11009 , 1663271 
477 , 427482050,  427493079,  11029 , 1595582 
478 , 428313631,  428324677,  11046 , 1663179 
479 , 429111247,  429122311,  11064 , 1595250 
480 , 429942736,  429953821,  11085 , 1662999 
481 , 430740161,  430751264,  11103 , 1594868 
482 , 431571637,  431582759,  11122 , 1662971 
483 , 432368885,  432380029,  11144 , 1594518 
484 , 433200279,  433211437,  11158 , 1662802 
485 , 433997365,  434008541,  11176 , 1594190 
486 , 434828731,  434839927,  11196 , 1662752 
487 , 435625616,  435636831,  11215 , 1593789 
488 , 436456929,  436468162,  11233 , 1662644 
489 , 437253664,  437264918,  11254 , 1593491 
490 , 438084927,  438096198,  11271 , 1662543 
491 , 438881513,  438892803,  11290 , 1593191 
492 , 439712724,  439724033,  11309 , 1662441 
493 , 440509141,  440520469,  11328 , 1592853 
494 , 441340270,  441351616,  11346 , 1662276 
495 , 442136516,  442147881,  11365 , 1592511 
496 , 442967559,  442978944,  11385 , 1662106 
497 , 443763635,  443775040,  11405 , 1592172 
498 , 444594645,  444606070,  11425 , 1662040 
499 , 445390561,  445402003,  11442 , 1591849 
500 , 446221522,  446232983,  11461 , 1661941 
501 , 447017265,  447028746,  11481 , 1591506 
502 , 447848196,  447859695,  11499 , 1661880 
503 , 448643766,  448655286,  11520 , 1591161 
504 , 449474662,  449486199,  11537 , 1661809 
505 , 450270048,  450281606,  11558 , 1590793 
506 , 451100876,  451112452,  11576 , 1661674 
507 , 451896090,  451907687,  11597 , 1590449 
508 , 452726913,  452738526,  11613 , 1661662 
509 , 453521965,  453533600,  11635 , 1590126 
510 , 454352666,  454364320,  11654 , 1661421 
511 , 455147585,  455159259,  11674 , 1589858 
512 , 455978262,  455989954,  11692 , 1661372 
513 , 456773017,  456784727,  11710 , 1589528 
514 , 457603650,  457615380,  11730 , 1661286 
515 , 458398273,  458410020,  11747 , 1589263 
516 , 459228864,  459240630,  11766 , 1661201 
517 , 460023299,  460035084,  11785 , 1588889 
518 , 460853870,  460865675,  11805 , 1661162 
519 , 461648141,  461659965,  11824 , 1588561 
520 , 462478673,  462490518,  11845 , 1661085 
521 , 463272784,  463284648,  11864 , 1588241 
522 , 464103274,  464115157,  11883 , 1660999 
523 , 464897242,  464909143,  11901 , 1587954 
524 , 465727688,  465739611,  11923 , 1660914 
525 , 466521481,  466533420,  11939 , 1587602 
526 , 467351889,  467363848,  11959 , 1660836 
527 , 468145524,  468157502,  11978 , 1587289 
528 , 468975907,  468987904,  11997 , 1660785 
529 , 469769377,  469781394,  12017 , 1586960 
530 , 470599764,  470611800,  12036 , 1660793 
531 , 471393088,  471405144,  12056 , 1586668 
532 , 472223400,  472235475,  12075 , 1660643 
533 , 473016558,  473028651,  12093 , 1586334 
534 , 473846829,  473858942,  12113 , 1660562 
535 , 474639830,  474651965,  12135 , 1586024 
536 , 475470074,  475482228,  12154 , 1660507 
537 , 476262924,  476275096,  12172 , 1585718 
538 , 477093146,  477105339,  12193 , 1660465 
539 , 477885863,  477898075,  12212 , 1585453 
540 , 478716058,  478728287,  12229 , 1660407 
541 , 479508603,  479520852,  12249 , 1585110 
542 , 480338779,  480351049,  12270 , 1660373 
543 , 481131175,  481143464,  12289 , 1584811 
544 , 481961330,  481973640,  12310 , 1660331 
545 , 482753567,  482765896,  12329 , 1584493 
546 , 483583690,  483596040,  12350 , 1660267 
547 , 484375765,  484388134,  12369 , 1584169 
